Items,work scheduling autonomy 1,work scheduling autonomy 2,work scheduling autonomy 3,decision making autonomy 1,decision making autonomy 2,decision making autonomy 3,work methods autonomy 1,work methods autonomy 2,work methods autonomy 3,task variety 1,task variety 2,task variety 3,task variety 4,task significance 1,task significance 2,task significance 3,task significance 4,task identity 1,task identity 2,task identity 3,task identity 4,feedback from job 1,feedback from job 2,feedback from job 3,job complexity 1,job complexity 2,job complexity 3,job complexity 4,information processing 1,information processing 2,information processing 3,information processing 4,problem solving 1,problem solving 2,problem solving 3,problem solving 4,skill variety 1,skill variety 2,skill variety 3,skill variety 4,specialization 1,specialization 2,specialization 3,specialization 4,social support 1,social support 2,social support 3,social support 4,social support 5,social support 6,initiated interdependence 1,initiated interdepenence 2,initiated interdependence 3,received interdependence 1,received interdependence 2,received interdependence 3,interaction outside research group 1,interaction outside research group 2,interaction outside research group 3,interaction outside research group 4,feedback from others 1,feedback from others 2,feedback from others 3,faculty/project leader feedback 1,faculty/projecdt leader feedback 2,faculty/project leader feedback 3,peer feedback 1,peer feedback 2,peer feedback 3,ergonomics 1,ergonomics 2,ergonomics 3,physical demands 1,physical demands 2,physical demands 3,work conditions 1,work conditions 2,work conditions 3,work conditions 4,work conditions 5,equipment use 1,equipment use 2,equipment use 3
Prompt,The research position allows me to make my own decisions about how to schedule my work.,The research position allows me to decide on the order in which things are done.,The research position allows me to plan how I do my work.,The research position gives me a chance to use my personal initiative or judgment in carrying out the work.,The research position allows me to make a lot of decisions on my own.,The research position provides me with significant autonomy in making decisions.,The research position allows me to make decisions about what methods I use to complete my work.,The research position gives me considerable opportunity for independence and freedom in how I do the work.,The research position allows me to decide on my own how to go about doing my work.,The research position involves a great deal of task variety.,The research position involves doing a number of different things.,The research position requires the performance of a wide range of tasks.,The research position involves performing a variety of tasks.,The results of my work are likely to significantly affect the lives of other people.,The research position itself is very significant and important in the broader scheme of things.,The research position has a large impact on people outside the organization.,The work performed in the research position has a significant impact on people outside my research group.,The research position involves completing a piece of work that has an obvious beginning and end.,The research position is arranged so that I can do an entire piece of work from beginning to end.,The research position provides me the chance to completely finish the pieces of work I begin.,The research position allows me to complete work I start.,"The work activities themselves provide direct and clear information about the effectiveness (e.g., quality and quantity) of my performance.",The research position itself provides feedback on my performance.,The research position itself provides me with information about my performance.,The research position requires that I only do one task or activity at a time.,The tasks of the research position are simple and uncomplicated.,The research position comprises relatively uncomplicated tasks.,The research position involves performing relatively simple tasks.,The research position requires me to monitor a great deal of information.,The research position requires that I engage in a large amount of thinking.,The research position requires me to keep track of more than one thing at a time.,The research position requires me to analyze a lot of information.,The research position involves solving problems that have no obvious correct answer.,The research position requires me to be creative.,The research position often involves dealing with problems that I have not met before.,The research position requires unique ideas or solutions to problems.,The research position requires a variety of skills.,The research position requires me to utilize a variety of different skills in order to complete the work.,The research position requires me to use a number of complex or high-level skills.,The research position requires the use of a number of skills.,"The research position is highly specialized in terms of purpose, tasks, or activities.","The tools, procedures, materials, and so forth used in this research position are highly specialized in terms of purpose.",The research position requires very specialized knowledge and skills.,The research position requires a depth of knowledge and expertise.,I have the opportunity to develop close friendships in this research position.,I have the chance in this research position to get to know other people.,I have the opportunity to meet with others in this research position.,My group leader is concerned about the welfare of the people in the research group.,People I work with take a personal interest in me.,People I work with are friendly.,The research position requires me to accomplish my work before others complete their work.,Other jobs depend directly on my job.,"Unless my job gets done, other jobs cannot be completed.",My research activities are greatly affected by the work of other people.,The research project depends on the work of many different people for its completion.,My work cannot be done unless others do their work.,The research position requires spending a great deal of time with people outside my research group.,The research position involves interaction with people who are not members of my research group.,"In this research position, I frequently communicate with people who do not work in the same research group as I do.",The research position involves a great deal of interaction with people outside my research group.,I receive a great deal of information from my project leader and peers about my work performance.,"Other people in the research group, such as group leader and peers, provide information about the effectiveness (e.g., quality and quantity) of my work performance.",I receive feedback on my performance from other people in my group (such as my project leader or peers).,I receive a great deal of information from my group leader about my work performance.,"My group leader provides information about the effectiveness (e.g., quality and quantity) of my work performance.",I receive feedback on my performance from my group leader.,I receive a great deal of information from other students in my group about my work performance.,"Other students in the research group provide information about the effectiveness (e.g., quality and quantity) of my work performance.",I receive feedback on my performance from other students in my group.,"The seating arrangements in my research space are adequate (e.g., ample opportunities to sit, comfortable chairs, good postural support).","The research space allows for all size differences between people in terms of clearance, reach, eye height, legroom, etc.",The research position involves excessive reaching.,The research position requires a great deal of muscular endurance.,The research position requires a great deal of muscular strength.,The research position requires a lot of physical effort.,The research space is free from excessive noise.,The climate in the research space is comfortable in terms of temperature and humidity.,The research position has a low risk of accident.,"The research position takes place in an environment free from health hazards (e.g., chemicals, fumes, etc.).",The research position occurs in a clean environment.,The research position involves the use of a variety of different equipment.,The research position involves the use of complex equipment or technology.,A lot of time was required to learn the equipment used in the research position.
,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options,response options
,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree ,1 - strongly disagree 
,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree,2-  disagree
,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree,3 - somewhat disagree
,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree ,4 - neither agree nor disagree 
